DISCRETE_GEN_TPS_1	DISCRETE_GEN_TPS_2	CommitGenUnits
Oahu_AES	2007051700	1.0
Oahu_AES	2007051702	1.0
Oahu_AES	2007051704	1.0
Oahu_AES	2007051706	1.0
Oahu_AES	2007051708	1.0
Oahu_AES	2007051710	1.0
Oahu_AES	2007051712	1.0
Oahu_AES	2007051714	1.0
Oahu_AES	2007051716	1.0
Oahu_AES	2007051718	1.0
Oahu_AES	2007051720	1.0
Oahu_AES	2007051722	1.0
Oahu_AES	2007070900	0.0
Oahu_AES	2007070902	0.0
Oahu_AES	2007070904	0.0
Oahu_AES	2007070906	0.0
Oahu_AES	2007070908	0.0
Oahu_AES	2007070910	0.0
Oahu_AES	2007070912	0.0
Oahu_AES	2007070914	0.0
Oahu_AES	2007070916	0.0
Oahu_AES	2007070918	0.0
Oahu_AES	2007070920	0.0
Oahu_AES	2007070922	0.0
Oahu_AES	2007072100	1.0
Oahu_AES	2007072102	1.0
Oahu_AES	2007072104	1.0
Oahu_AES	2007072106	1.0
Oahu_AES	2007072108	1.0
Oahu_AES	2007072110	1.0
Oahu_AES	2007072112	1.0
Oahu_AES	2007072114	1.0
Oahu_AES	2007072116	1.0
Oahu_AES	2007072118	1.0
Oahu_AES	2007072120	1.0
Oahu_AES	2007072122	1.0
Oahu_AES	2007082500	0.0
Oahu_AES	2007082502	0.0
Oahu_AES	2007082504	0.0
Oahu_AES	2007082506	0.0
Oahu_AES	2007082508	0.0
Oahu_AES	2007082510	0.0
Oahu_AES	2007082512	0.0
Oahu_AES	2007082514	0.0
Oahu_AES	2007082516	0.0
Oahu_AES	2007082518	0.0
Oahu_AES	2007082520	0.0
Oahu_AES	2007082522	0.0
Oahu_AES	2007121500	1.0
Oahu_AES	2007121502	1.0
Oahu_AES	2007121504	1.0
Oahu_AES	2007121506	1.0
Oahu_AES	2007121508	1.0
Oahu_AES	2007121510	1.0
Oahu_AES	2007121512	1.0
Oahu_AES	2007121514	1.0
Oahu_AES	2007121516	1.0
Oahu_AES	2007121518	1.0
Oahu_AES	2007121520	1.0
Oahu_AES	2007121522	1.0
Oahu_AES	2007121800	1.0
Oahu_AES	2007121802	1.0
Oahu_AES	2007121804	1.0
Oahu_AES	2007121806	1.0
Oahu_AES	2007121808	1.0
Oahu_AES	2007121810	1.0
Oahu_AES	2007121812	1.0
Oahu_AES	2007121814	1.0
Oahu_AES	2007121816	1.0
Oahu_AES	2007121818	1.0
Oahu_AES	2007121820	1.0
Oahu_AES	2007121822	1.0
Oahu_AES	2007121900	1.0
Oahu_AES	2007121902	1.0
Oahu_AES	2007121904	1.0
Oahu_AES	2007121906	1.0
Oahu_AES	2007121908	1.0
Oahu_AES	2007121910	1.0
Oahu_AES	2007121912	1.0
Oahu_AES	2007121914	1.0
Oahu_AES	2007121916	1.0
Oahu_AES	2007121918	1.0
Oahu_AES	2007121920	1.0
Oahu_AES	2007121922	1.0
Oahu_AES	2008010900	0.0
Oahu_AES	2008010902	0.0
Oahu_AES	2008010904	0.0
Oahu_AES	2008010906	0.0
Oahu_AES	2008010908	0.0
Oahu_AES	2008010910	0.0
Oahu_AES	2008010912	0.0
Oahu_AES	2008010914	0.0
Oahu_AES	2008010916	0.0
Oahu_AES	2008010918	0.0
Oahu_AES	2008010920	0.0
Oahu_AES	2008010922	0.0
Oahu_AES	2008042100	1.0
Oahu_AES	2008042102	1.0
Oahu_AES	2008042104	1.0
Oahu_AES	2008042106	1.0
Oahu_AES	2008042108	1.0
Oahu_AES	2008042110	1.0
Oahu_AES	2008042112	1.0
Oahu_AES	2008042114	1.0
Oahu_AES	2008042116	1.0
Oahu_AES	2008042118	1.0
Oahu_AES	2008042120	1.0
Oahu_AES	2008042122	1.0
Oahu_AES	2008050100	1.0
Oahu_AES	2008050102	1.0
Oahu_AES	2008050104	1.0
Oahu_AES	2008050106	1.0
Oahu_AES	2008050108	1.0
Oahu_AES	2008050110	1.0
Oahu_AES	2008050112	1.0
Oahu_AES	2008050114	1.0
Oahu_AES	2008050116	1.0
Oahu_AES	2008050118	1.0
Oahu_AES	2008050120	1.0
Oahu_AES	2008050122	1.0
Oahu_AES	2008072700	1.0
Oahu_AES	2008072702	1.0
Oahu_AES	2008072704	1.0
Oahu_AES	2008072706	1.0
Oahu_AES	2008072708	1.0
Oahu_AES	2008072710	1.0
Oahu_AES	2008072712	1.0
Oahu_AES	2008072714	1.0
Oahu_AES	2008072716	1.0
Oahu_AES	2008072718	1.0
Oahu_AES	2008072720	1.0
Oahu_AES	2008072722	1.0
Oahu_AES	2008091000	0.0
Oahu_AES	2008091002	0.0
Oahu_AES	2008091004	0.0
Oahu_AES	2008091006	0.0
Oahu_AES	2008091008	0.0
Oahu_AES	2008091010	0.0
Oahu_AES	2008091012	0.0
Oahu_AES	2008091014	0.0
Oahu_AES	2008091016	0.0
Oahu_AES	2008091018	0.0
Oahu_AES	2008091020	0.0
Oahu_AES	2008091022	0.0
Oahu_AES	2008100300	0.0
Oahu_AES	2008100302	0.0
Oahu_AES	2008100304	0.0
Oahu_AES	2008100306	0.0
Oahu_AES	2008100308	0.0
Oahu_AES	2008100310	0.0
Oahu_AES	2008100312	0.0
Oahu_AES	2008100314	0.0
Oahu_AES	2008100316	0.0
Oahu_AES	2008100318	0.0
Oahu_AES	2008100320	0.0
Oahu_AES	2008100322	0.0
Oahu_AES	2008110800	1.0
Oahu_AES	2008110802	1.0
Oahu_AES	2008110804	1.0
Oahu_AES	2008110806	1.0
Oahu_AES	2008110808	1.0
Oahu_AES	2008110810	1.0
Oahu_AES	2008110812	1.0
Oahu_AES	2008110814	1.0
Oahu_AES	2008110816	1.0
Oahu_AES	2008110818	1.0
Oahu_AES	2008110820	1.0
Oahu_AES	2008110822	1.0
Oahu_AES	2008120500	1.0
Oahu_AES	2008120502	1.0
Oahu_AES	2008120504	1.0
Oahu_AES	2008120506	1.0
Oahu_AES	2008120508	1.0
Oahu_AES	2008120510	1.0
Oahu_AES	2008120512	1.0
Oahu_AES	2008120514	1.0
Oahu_AES	2008120516	1.0
Oahu_AES	2008120518	1.0
Oahu_AES	2008120520	1.0
Oahu_AES	2008120522	1.0
Oahu_AES	2008120800	0.0
Oahu_AES	2008120802	0.0
Oahu_AES	2008120804	0.0
Oahu_AES	2008120806	0.0
