WithdrawLiquidHydrogenKg_index_1	WithdrawLiquidHydrogenKg_index_2	WithdrawLiquidHydrogenKg
Oahu	20070517	0.0
Oahu	20070709	0.0
Oahu	20070721	0.0
Oahu	20070825	0.0
Oahu	20071215	0.0
Oahu	20071218	0.0
Oahu	20071219	0.0
Oahu	20080109	0.0
Oahu	20080421	0.0
Oahu	20080501	0.0
Oahu	20080727	0.0
Oahu	20080910	0.0
Oahu	20081003	0.0
Oahu	20081108	0.0
Oahu	20081205	0.0
Oahu	20081208	0.0
Oahu	25070517	0.0
Oahu	25070709	0.0
Oahu	25070721	0.0
Oahu	25070825	0.0
Oahu	25071215	0.0
Oahu	25071218	0.0
Oahu	25071219	0.0
Oahu	25080109	0.0
Oahu	25080421	0.0
Oahu	25080501	0.0
Oahu	25080727	0.0
Oahu	25080910	0.0
Oahu	25081003	0.0
Oahu	25081108	0.0
Oahu	25081205	0.0
Oahu	25081208	0.0
Oahu	30070517	0.0
Oahu	30070709	0.0
Oahu	30070721	0.0
Oahu	30070825	0.0
Oahu	30071215	0.0
Oahu	30071218	0.0
Oahu	30071219	0.0
Oahu	30080109	0.0
Oahu	30080421	0.0
Oahu	30080501	0.0
Oahu	30080727	0.0
Oahu	30080910	0.0
Oahu	30081003	0.0
Oahu	30081108	0.0
Oahu	30081205	0.0
Oahu	30081208	0.0
Oahu	35070517	0.0
Oahu	35070709	0.0
Oahu	35070721	0.0
Oahu	35070825	0.0
Oahu	35071215	0.0
Oahu	35071218	0.0
Oahu	35071219	0.0
Oahu	35080109	0.0
Oahu	35080421	0.0
Oahu	35080501	0.0
Oahu	35080727	0.0
Oahu	35080910	0.0
Oahu	35081003	0.0
Oahu	35081108	0.0
Oahu	35081205	0.0
Oahu	35081208	0.0
Oahu	40070517	0.0
Oahu	40070709	0.0
Oahu	40070721	0.0
Oahu	40070825	0.0
Oahu	40071215	0.0
Oahu	40071218	0.0
Oahu	40071219	0.0
Oahu	40080109	0.0
Oahu	40080421	0.0
Oahu	40080501	0.0
Oahu	40080727	0.0
Oahu	40080910	0.0
Oahu	40081003	0.0
Oahu	40081108	0.0
Oahu	40081205	0.0
Oahu	40081208	0.0
Oahu	45070517	0.0
Oahu	45070709	0.0
Oahu	45070721	0.0
Oahu	45070825	3393.928105990702
Oahu	45071215	0.0
Oahu	45071218	0.0
Oahu	45071219	0.0
Oahu	45080109	80236.3397924573
Oahu	45080421	0.0
Oahu	45080501	0.0
Oahu	45080727	0.0
Oahu	45080910	21562.103007593192
Oahu	45081003	8590.680816159611
Oahu	45081108	0.0
Oahu	45081205	30170.907895179895
Oahu	45081208	109604.6866819588
