load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	DispatchFuelCellMW	GeneratePumpedHydro	zone_demand_mw	StorageNetCharge	ChargeEVs	RunElectrolyzerMW	LiquifyHydrogenMW	ShiftDemand	StorePumpedHydro
Oahu	2020-01-09-00:00	728.989	0	0	0	539.86	0	8.10905	0	0	181.02	0
Oahu	2020-01-09-02:00	727.989	0	0	0	488.585	0	24.9604	0	0	214.444	0
Oahu	2020-01-09-04:00	731.174	0	0	0	555.972	0	33.4094	0	0	141.793	0
Oahu	2020-01-09-06:00	744.129	0	0	0	783.427	0	39.0449	0	0	-78.3427	0
Oahu	2020-01-09-08:00	883.727	0	0	0	918.967	0	36.5091	0	0	-71.7487	0
Oahu	2020-01-09-10:00	1088.33	0	0	0	1007.02	0	12.6863	0	0	68.6299	0
Oahu	2020-01-09-12:00	966.998	0	0	0	1028.09	0	5.10006	0	0	-66.1944	0
Oahu	2020-01-09-14:00	979.819	0	0	0	1040.62	0	3.59831	0	0	-64.4038	0
Oahu	2020-01-09-16:00	936.654	0	0	0	1031.05	0	5.01085	0	0	-99.4099	0
Oahu	2020-01-09-18:00	1005.91	0	0	0	1115.76	0	1.7061	0	0	-111.562	0
Oahu	2020-01-09-20:00	873.529	0	0	0	969.876	0	0.640868	0	0	-96.9876	0
Oahu	2020-01-09-22:00	728.989	0	0	0	744.822	0	1.40488	0	0	-17.2379	0
Oahu	2020-04-21-00:00	745.587	0	0	0	553.182	0	11.4445	0	0	180.961	0
Oahu	2020-04-21-02:00	759.245	0	0	0	500.901	0	52.8638	0	0	205.481	0
Oahu	2020-04-21-04:00	749.423	0	0	0	582.959	0	58.1504	0	0	108.314	0
Oahu	2020-04-21-06:00	784.447	0	0	0	844.868	0	16.1048	0	0	-76.5251	0
Oahu	2020-04-21-08:00	907.568	0	0	0	977.137	0	12.6373	0	0	-82.206	0
Oahu	2020-04-21-10:00	1079.81	0	0	0	1041.85	0	9.168	0	0	28.7897	0
Oahu	2020-04-21-12:00	1036.39	0	0	0	1056.59	0	3.77514	0	0	-23.9766	0
Oahu	2020-04-21-14:00	1008.27	0	0	0	1059.8	0	1.73151	0	0	-53.2612	0
Oahu	2020-04-21-16:00	935.049	0	0	0	1038.36	0	0.524012	0	0	-103.836	0
Oahu	2020-04-21-18:00	945.302	0	0	0	1049.13	0	1.08257	0	0	-104.913	0
Oahu	2020-04-21-20:00	885.497	0	0	0	982.008	0	1.68921	0	0	-98.2008	0
Oahu	2020-04-21-22:00	757.907	0	0	0	735.525	0	3.00895	0	0	19.3729	0
Oahu	2020-05-01-00:00	698.657	0	0	0	569.248	0	10.3141	0	0	119.095	0
Oahu	2020-05-01-02:00	685.214	0	0	0	520.432	0	45.6879	0	0	119.095	0
Oahu	2020-05-01-04:00	678.641	0	0	0	596.178	0	52.1535	0	0	30.3095	0
Oahu	2020-05-01-06:00	802.991	0	0	0	867.601	0	22.1506	0	0	-86.7601	0
Oahu	2020-05-01-08:00	950.431	0	0	0	987.829	0	18.8578	0	0	-56.2558	0
Oahu	2020-05-01-10:00	1076.97	0	0	0	1045.51	0	10.0897	0	0	21.3724	0
Oahu	2020-05-01-12:00	1130.63	0	0	0	1058.28	0	4.11454	0	0	68.2386	0
Oahu	2020-05-01-14:00	1120.44	0	0	0	1064.17	0	2.17105	0	0	54.0999	0
Oahu	2020-05-01-16:00	1039.77	0	0	0	1042.89	0	1.61414	0	0	-4.73559	0
Oahu	2020-05-01-18:00	938.98	0	0	0	1042.02	0	1.16208	0	0	-104.202	0
Oahu	2020-05-01-20:00	885.804	0	0	0	982.74	0	1.33724	0	0	-98.274	0
Oahu	2020-05-01-22:00	697.134	0	0	0	756.589	0	2.52744	0	0	-61.982	0
Oahu	2020-05-17-00:00	600.671	0	0	0	564.609	0	9.99062	0	0	26.0713	0
Oahu	2020-05-17-02:00	591.26	0	0	0	509.277	0	43.6345	0	0	38.3486	0
Oahu	2020-05-17-04:00	590.343	0	0	0	565.127	0	50.4375	0	0	-25.2215	0
Oahu	2020-05-17-06:00	780.437	0	0	0	840.618	0	23.8806	0	0	-84.0618	0
Oahu	2020-05-17-08:00	1080.48	0	0	0	981.092	0	20.6378	0	0	78.748	0
Oahu	2020-05-17-10:00	1182.45	0	0	0	1045.78	0	10.3535	0	0	126.313	0
Oahu	2020-05-17-12:00	1207.19	0	0	0	1062.52	0	4.21166	0	0	140.459	0
Oahu	2020-05-17-14:00	1127.89	0	0	0	1062.81	0	2.29682	0	0	62.7803	0
Oahu	2020-05-17-16:00	959.549	0	0	0	1045.84	0	1.92607	0	0	-88.2164	0
Oahu	2020-05-17-18:00	915.754	0	0	0	1016.19	0	1.18484	0	0	-101.619	0
Oahu	2020-05-17-20:00	886.011	0	0	0	983.083	0	1.23652	0	0	-98.3083	0
Oahu	2020-05-17-22:00	680.031	0	0	0	752.935	0	2.38965	0	0	-75.2935	0
Oahu	2020-07-09-00:00	765.783	0	0	0	603.777	0	6.92845	0	0	155.078	0
Oahu	2020-07-09-02:00	758.224	0	0	0	544.947	0	24.1965	0	0	189.081	0
Oahu	2020-07-09-04:00	763.094	0	0	0	616.432	0	34.193	0	0	112.469	0
Oahu	2020-07-09-06:00	805.445	0	0	0	850.157	0	40.2577	0	0	-84.9697	0
Oahu	2020-07-09-08:00	1058.09	0	0	0	1023.32	0	37.4882	0	0	-2.71648	0
Oahu	2020-07-09-10:00	1181.55	0	0	0	1100.82	0	12.8502	0	0	67.8767	0
Oahu	2020-07-09-12:00	1110.62	0	0	0	1119.61	0	5.13103	0	0	-14.1189	0
Oahu	2020-07-09-14:00	1026.48	0	0	0	1118.72	0	3.48745	0	0	-95.7313	0
Oahu	2020-07-09-16:00	996.499	0	0	0	1100.6	0	4.87902	0	0	-108.978	0
Oahu	2020-07-09-18:00	977.588	0	0	0	1054.31	0	1.40022	0	0	-78.122	0
Oahu	2020-07-09-20:00	930.564	0	0	0	1033.65	0	0.283088	0	0	-103.365	0
Oahu	2020-07-09-22:00	775.065	0	0	0	810.483	0	1.08531	0	0	-36.5036	0
Oahu	2020-07-21-00:00	688.675	0	0	0	672.529	0	6.92845	0	0	9.21714	0
Oahu	2020-07-21-02:00	675.306	0	0	0	601.494	0	24.1965	0	0	49.6161	0
Oahu	2020-07-21-04:00	680.726	0	0	0	609.278	0	34.193	0	0	37.2556	0
Oahu	2020-07-21-06:00	758.454	0	0	0	743.373	0	40.2577	0	0	-25.1766	0
Oahu	2020-07-21-08:00	959.566	0	0	0	951.778	0	37.4882	0	0	-29.7001	0
Oahu	2020-07-21-10:00	1100.51	0	0	0	1032.05	0	12.8502	0	0	55.6155	0
Oahu	2020-07-21-12:00	1148.41	0	0	0	1027.44	0	5.13103	0	0	115.845	0
Oahu	2020-07-21-14:00	1102.23	0	0	0	1013.93	0	3.48745	0	0	84.8145	0
Oahu	2020-07-21-16:00	1001.62	0	0	0	1015.18	0	4.87902	0	0	-18.4378	0
Oahu	2020-07-21-18:00	898.202	0	0	0	996.446	0	1.40022	0	0	-99.6446	0
Oahu	2020-07-21-20:00	879.287	0	0	0	976.671	0	0.283088	0	0	-97.6671	0
Oahu	2020-07-21-22:00	736.726	0	0	0	817.378	0	1.08531	0	0	-81.7378	0
Oahu	2020-07-27-00:00	581.505	0	0	0	638.419	0	6.92845	0	0	-63.8419	0
Oahu	2020-07-27-02:00	538.57	0	0	0	558.373	0	24.1965	0	0	-43.9992	0
Oahu	2020-07-27-04:00	542.729	0	0	0	565.04	0	34.193	0	0	-56.504	0
Oahu	2020-07-27-06:00	644.402	0	0	0	644.754	0	40.2577	0	0	-40.6096	0
Oahu	2020-07-27-08:00	897.991	0	0	0	839.23	0	37.4882	0	0	21.2725	0
Oahu	2020-07-27-10:00	1091.1	0	0	0	940.122	0	12.8502	0	0	138.129	0
Oahu	2020-07-27-12:00	1133.24	0	0	0	956.6	0	5.13103	0	0	171.514	0
Oahu	2020-07-27-14:00	1147.55	0	0	0	966.491	0	3.48745	0	0	177.574	0
Oahu	2020-07-27-16:00	969.659	0	0	0	991.843	0	4.87902	0	0	-27.0627	0
Oahu	2020-07-27-18:00	880.072	0	0	0	976.302	0	1.40022	0	0	-97.6302	0
Oahu	2020-07-27-20:00	889.978	0	0	0	988.549	0	0.283088	0	0	-98.8549	0
Oahu	2020-07-27-22:00	720.969	0	0	0	799.871	0	1.08531	0	0	-79.9871	0
Oahu	2020-08-25-00:00	757.489	0	0	0	652.338	0	28.5532	0	0	76.5982	0
Oahu	2020-08-25-02:00	757.489	0	0	0	576.522	0	40.0168	0	0	140.951	0
Oahu	2020-08-25-04:00	672.189	0	0	0	590.189	0	22.7661	0	0	59.2342	0
Oahu	2020-08-25-06:00	673.477	0	0	0	725.038	0	20.9424	0	0	-72.5038	0
Oahu	2020-08-25-08:00	933.04	0	0	0	965.299	0	20.9424	0	0	-53.2006	0
Oahu	2020-08-25-10:00	1084.14	0	0	0	1046.6	0	9.89124	0	0	27.6406	0
Oahu	2020-08-25-12:00	1050.67	0	0	0	1033	0	4.15269	0	0	13.5148	0
Oahu	2020-08-25-14:00	1087.38	0	0	0	1018.61	0	2.83578	0	0	65.9382	0
Oahu	2020-08-25-16:00	1019.76	0	0	0	1031.65	0	3.46039	0	0	-15.3504	0
Oahu	2020-08-25-18:00	929.496	0	0	0	1026.62	0	5.54255	0	0	-102.662	0
Oahu	2020-08-25-20:00	915.558	0	0	0	982.487	0	6.96183	0	0	-73.8902	0
Oahu	2020-08-25-22:00	768.348	0	0	0	828.503	0	6.11478	0	0	-66.2703	0
Oahu	2020-09-10-00:00	743.37	0	0	0	612.781	0	9.89252	0	0	120.697	0
Oahu	2020-09-10-02:00	750.343	0	0	0	561.255	0	39.9849	0	0	149.103	0
Oahu	2020-09-10-04:00	734.432	0	0	0	629.831	0	50.5542	0	0	54.0466	0
Oahu	2020-09-10-06:00	825.917	0	0	0	886.205	0	28.3324	0	0	-88.6205	0
Oahu	2020-09-10-08:00	1053.62	0	0	0	1019.08	0	20.2035	0	0	14.332	0
Oahu	2020-09-10-10:00	1114.46	0	0	0	1097.93	0	10.2601	0	0	6.27276	0
Oahu	2020-09-10-12:00	1169.01	0	0	0	1110.82	0	4.14015	0	0	54.0473	0
Oahu	2020-09-10-14:00	1106.27	0	0	0	1110.87	0	2.37824	0	0	-6.98065	0
Oahu	2020-09-10-16:00	1036.11	0	0	0	1095.06	0	1.83531	0	0	-60.7808	0
Oahu	2020-09-10-18:00	1000.16	0	0	0	1110.14	0	1.03393	0	0	-111.014	0
Oahu	2020-09-10-20:00	910.224	0	0	0	1010.01	0	1.21174	0	0	-101.001	0
Oahu	2020-09-10-22:00	739.91	0	0	0	767.658	0	2.3532	0	0	-30.1015	0
Oahu	2020-10-03-00:00	776.506	0	0	0	615.617	0	11.1862	0	0	149.703	0
Oahu	2020-10-03-02:00	781.449	0	0	0	565.303	0	49.0825	0	0	167.064	0
Oahu	2020-10-03-04:00	765.172	0	0	0	638.144	0	57.2304	0	0	69.7974	0
Oahu	2020-10-03-06:00	827.225	0	0	0	896.623	0	20.2646	0	0	-89.6623	0
Oahu	2020-10-03-08:00	1064.21	0	0	0	1040.21	0	13.3699	0	0	10.6261	0
Oahu	2020-10-03-10:00	1181.39	0	0	0	1105.43	0	9.25601	0	0	66.7058	0
Oahu	2020-10-03-12:00	1086.95	0	0	0	1121.87	0	3.78129	0	0	-38.7062	0
Oahu	2020-10-03-14:00	1013.82	0	0	0	1112.24	0	1.86258	0	0	-100.289	0
Oahu	2020-10-03-16:00	970.286	0	0	0	1071.95	0	0.642051	0	0	-102.301	0
Oahu	2020-10-03-18:00	981.404	0	0	0	1089.35	0	0.989122	0	0	-108.935	0
Oahu	2020-10-03-20:00	937.503	0	0	0	983.061	0	1.61284	0	0	-47.1702	0
Oahu	2020-10-03-22:00	824.431	0	0	0	798.361	0	2.90267	0	0	23.1672	0
Oahu	2020-11-08-00:00	645.081	0	0	0	603.77	0	10.5507	0	0	30.7601	0
Oahu	2020-11-08-02:00	650.139	0	0	0	544.617	0	39.7821	0	0	65.7401	0
Oahu	2020-11-08-04:00	618.76	0	0	0	558.979	0	54.9677	0	0	4.81345	0
Oahu	2020-11-08-06:00	648.812	0	0	0	687.018	0	30.4959	0	0	-68.7018	0
Oahu	2020-11-08-08:00	888.844	0	0	0	872.849	0	15.172	0	0	0.822732	0
Oahu	2020-11-08-10:00	1027.31	0	0	0	944.925	0	9.47249	0	0	72.9111	0
Oahu	2020-11-08-12:00	1105.39	0	0	0	958.361	0	3.79643	0	0	143.236	0
Oahu	2020-11-08-14:00	1036.66	0	0	0	928.744	0	2.18496	0	0	105.728	0
Oahu	2020-11-08-16:00	839.931	0	0	0	932.22	0	0.932377	0	0	-93.222	0
Oahu	2020-11-08-18:00	891.73	0	0	0	989.967	0	0.759267	0	0	-98.9967	0
Oahu	2020-11-08-20:00	801.758	0	0	0	889.259	0	1.42501	0	0	-88.9259	0
Oahu	2020-11-08-22:00	670.13	0	0	0	741.655	0	2.64127	0	0	-74.1655	0
Oahu	2020-12-05-00:00	709.313	0	0	0	566.664	0	11.4445	0	0	131.205	0
Oahu	2020-12-05-02:00	718.676	0	0	0	515.812	0	52.8638	0	0	150.001	0
Oahu	2020-12-05-04:00	741.333	0	0	0	586.789	0	58.1504	0	0	96.3929	0
Oahu	2020-12-05-06:00	791.336	0	0	0	861.368	0	16.1048	0	0	-86.1368	0
Oahu	2020-12-05-08:00	908.627	0	0	0	961.654	0	12.6373	0	0	-65.6644	0
Oahu	2020-12-05-10:00	1025.5	0	0	0	1016.73	0	9.168	0	0	-0.394079	0
Oahu	2020-12-05-12:00	1031.14	0	0	0	1029.14	0	3.77514	0	0	-1.78083	0
Oahu	2020-12-05-14:00	1011.06	0	0	0	1006.55	0	1.73151	0	0	2.77609	0
Oahu	2020-12-05-16:00	937.942	0	0	0	980.339	0	0.524012	0	0	-42.9211	0
Oahu	2020-12-05-18:00	904.331	0	0	0	1003.61	0	1.08257	0	0	-100.361	0
Oahu	2020-12-05-20:00	807.641	0	0	0	895.502	0	1.68921	0	0	-89.5502	0
Oahu	2020-12-05-22:00	743.436	0	0	0	733.993	0	3.00895	0	0	6.43407	0
Oahu	2020-12-08-00:00	758.061	0	0	0	532.713	0	9.59726	0	0	215.751	0
Oahu	2020-12-08-02:00	731.088	0	0	0	489.374	0	25.8293	0	0	215.885	0
Oahu	2020-12-08-04:00	746.911	0	0	0	573.673	0	51.573	0	0	121.664	0
Oahu	2020-12-08-06:00	804.538	0	0	0	842.992	0	45.8455	0	0	-84.2992	0
Oahu	2020-12-08-08:00	892.748	0	0	0	949.407	0	17.8755	0	0	-74.5341	0
Oahu	2020-12-08-10:00	926.302	0	0	0	1001.99	0	9.79725	0	0	-85.4808	0
Oahu	2020-12-08-12:00	980.761	0	0	0	1010.64	0	3.81914	0	0	-33.7002	0
Oahu	2020-12-08-14:00	952.801	0	0	0	1006.33	0	2.66861	0	0	-56.1988	0
Oahu	2020-12-08-16:00	921.02	0	0	0	979.264	0	1.36794	0	0	-59.6125	0
Oahu	2020-12-08-18:00	959.464	0	0	0	1065.61	0	0.414427	0	0	-106.561	0
Oahu	2020-12-08-20:00	844.443	0	0	0	937	0	1.1432	0	0	-93.7	0
Oahu	2020-12-08-22:00	751.872	0	0	0	708.836	0	2.2491	0	0	40.787	0
Oahu	2020-12-15-00:00	662.626	0	0	0	592.101	0	10.3649	0	0	60.1601	0
Oahu	2020-12-15-02:00	676.034	0	0	0	519.075	0	37.0638	0	0	119.896	0
Oahu	2020-12-15-04:00	644.991	0	0	0	546.476	0	54.3063	0	0	44.208	0
Oahu	2020-12-15-06:00	665.111	0	0	0	689.492	0	33.4863	0	0	-57.8673	0
Oahu	2020-12-15-08:00	809.025	0	0	0	881.473	0	15.6987	0	0	-88.1473	0
Oahu	2020-12-15-10:00	940.855	0	0	0	938.167	0	9.53576	0	0	-6.84746	0
Oahu	2020-12-15-12:00	1013.99	0	0	0	924.95	0	3.80086	0	0	85.2355	0
Oahu	2020-12-15-14:00	988.85	0	0	0	890.146	0	2.27919	0	0	96.4244	0
Oahu	2020-12-15-16:00	915.247	0	0	0	906.333	0	1.01723	0	0	7.89658	0
Oahu	2020-12-15-18:00	881.113	0	0	0	978.246	0	0.692086	0	0	-97.8246	0
Oahu	2020-12-15-20:00	801.449	0	0	0	888.976	0	1.3701	0	0	-88.8976	0
Oahu	2020-12-15-22:00	670.69	0	0	0	742.361	0	2.56487	0	0	-74.2361	0
Oahu	2020-12-18-00:00	681.158	0	0	0	540.245	0	27.2086	0	0	113.705	0
Oahu	2020-12-18-02:00	679.176	0	0	0	481.898	0	56.5385	0	0	140.739	0
Oahu	2020-12-18-04:00	682.414	0	0	0	561.673	0	41.6373	0	0	79.1038	0
Oahu	2020-12-18-06:00	764.605	0	0	0	835.421	0	12.7255	0	0	-83.5421	0
Oahu	2020-12-18-08:00	838.703	0	0	0	918.212	0	12.3124	0	0	-91.8212	0
Oahu	2020-12-18-10:00	977.769	0	0	0	960.068	0	9.0895	0	0	8.61203	0
Oahu	2020-12-18-12:00	1031.79	0	0	0	979.022	0	3.25562	0	0	49.5091	0
Oahu	2020-12-18-14:00	1062.79	0	0	0	967.537	0	1.2884	0	0	93.9611	0
